filename,path,extension,size_bytes,stage
SRC_0072.json,stage_2\02_extraction\raw_json\SRC_0072.json,.json,242651,stage_2
SRC_0073.json,stage_2\02_extraction\raw_json\SRC_0073.json,.json,266726,stage_2
SRC_0074.json,stage_2\02_extraction\raw_json\SRC_0074.json,.json,258981,stage_2
SRC_0075.json,stage_2\02_extraction\raw_json\SRC_0075.json,.json,222894,stage_2
SRC_0076.json,stage_2\02_extraction\raw_json\SRC_0076.json,.json,212669,stage_2
SRC_0077.json,stage_2\02_extraction\raw_json\SRC_0077.json,.json,241901,stage_2
SRC_0078.json,stage_2\02_extraction\raw_json\SRC_0078.json,.json,267521,stage_2
SRC_0081.json,stage_2\02_extraction\raw_json\SRC_0081.json,.json,210621,stage_2
SRC_0082.json,stage_2\02_extraction\raw_json\SRC_0082.json,.json,205421,stage_2
SRC_0083.json,stage_2\02_extraction\raw_json\SRC_0083.json,.json,240831,stage_2
SRC_0084.json,stage_2\02_extraction\raw_json\SRC_0084.json,.json,244683,stage_2
SRC_0085.json,stage_2\02_extraction\raw_json\SRC_0085.json,.json,248286,stage_2
SRC_0086.json,stage_2\02_extraction\raw_json\SRC_0086.json,.json,242639,stage_2
SRC_0087.json,stage_2\02_extraction\raw_json\SRC_0087.json,.json,240769,stage_2
SRC_0088.json,stage_2\02_extraction\raw_json\SRC_0088.json,.json,248316,stage_2
SRC_0089.json,stage_2\02_extraction\raw_json\SRC_0089.json,.json,256459,stage_2
SRC_0090.json,stage_2\02_extraction\raw_json\SRC_0090.json,.json,225242,stage_2
SRC_0091.json,stage_2\02_extraction\raw_json\SRC_0091.json,.json,238358,stage_2
SRC_0092.json,stage_2\02_extraction\raw_json\SRC_0092.json,.json,247335,stage_2
SRC_0093.json,stage_2\02_extraction\raw_json\SRC_0093.json,.json,259527,stage_2
SRC_0094.json,stage_2\02_extraction\raw_json\SRC_0094.json,.json,261371,stage_2
SRC_0095.json,stage_2\02_extraction\raw_json\SRC_0095.json,.json,235754,stage_2
SRC_0096.json,stage_2\02_extraction\raw_json\SRC_0096.json,.json,217439,stage_2
SRC_0097.json,stage_2\02_extraction\raw_json\SRC_0097.json,.json,238490,stage_2
SRC_0098.json,stage_2\02_extraction\raw_json\SRC_0098.json,.json,266368,stage_2
SRC_0099.json,stage_2\02_extraction\raw_json\SRC_0099.json,.json,258083,stage_2
SRC_0100.json,stage_2\02_extraction\raw_json\SRC_0100.json,.json,216056,stage_2
SRC_0101.json,stage_2\02_extraction\raw_json\SRC_0101.json,.json,241588,stage_2
SRC_0102.json,stage_2\02_extraction\raw_json\SRC_0102.json,.json,215876,stage_2
SRC_0103.json,stage_2\02_extraction\raw_json\SRC_0103.json,.json,244865,stage_2
SRC_0185.json,stage_2\02_extraction\raw_json\SRC_0185.json,.json,274162,stage_2
SRC_0186.json,stage_2\02_extraction\raw_json\SRC_0186.json,.json,13058,stage_2
SRC_0187.json,stage_2\02_extraction\raw_json\SRC_0187.json,.json,10732,stage_2
SRC_0188.json,stage_2\02_extraction\raw_json\SRC_0188.json,.json,1903521,stage_2
SRC_0009_std.json,stage_2\03_standardization\standardized_json\SRC_0009_std.json,.json,32539,stage_2
SRC_0010_std.json,stage_2\03_standardization\standardized_json\SRC_0010_std.json,.json,31812,stage_2
SRC_0011_std.json,stage_2\03_standardization\standardized_json\SRC_0011_std.json,.json,32582,stage_2
SRC_0012_std.json,stage_2\03_standardization\standardized_json\SRC_0012_std.json,.json,32681,stage_2
SRC_0013_std.json,stage_2\03_standardization\standardized_json\SRC_0013_std.json,.json,32505,stage_2
SRC_0014_std.json,stage_2\03_standardization\standardized_json\SRC_0014_std.json,.json,31703,stage_2
SRC_0015_std.json,stage_2\03_standardization\standardized_json\SRC_0015_std.json,.json,32241,stage_2
SRC_0016_std.json,stage_2\03_standardization\standardized_json\SRC_0016_std.json,.json,32370,stage_2
SRC_0017_std.json,stage_2\03_standardization\standardized_json\SRC_0017_std.json,.json,32544,stage_2
SRC_0018_std.json,stage_2\03_standardization\standardized_json\SRC_0018_std.json,.json,32513,stage_2
SRC_0019_std.json,stage_2\03_standardization\standardized_json\SRC_0019_std.json,.json,31965,stage_2
SRC_0020_std.json,stage_2\03_standardization\standardized_json\SRC_0020_std.json,.json,31860,stage_2
SRC_0021_std.json,stage_2\03_standardization\standardized_json\SRC_0021_std.json,.json,31791,stage_2
SRC_0032_std.json,stage_2\03_standardization\standardized_json\SRC_0032_std.json,.json,1593,stage_2
IDENTITY_RESOLUTION.csv,stage_2\04_identity\IDENTITY_RESOLUTION.csv,.csv,10172,stage_2
SRC_0009_std.json,stage_2\04_identity\resolved_json\SRC_0009_std.json,.json,33676,stage_2
