Project_SK,Normalized_Name,Original_Name_Sample,PAIMANA_ID,Project_Code
43,gosikhurd project,GOSIKHURD PROJECT,701386,
44,krishnapatnam node phase 1 roads and services development,"KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES
DEVELOPMENT",701658,
45,aiims kashmir at awantipora jammu kashmir,AIIMS KASHMIR AT AWANTIPORA JAMMU & KASHMIR,701167,
46,tumakuru node phase 1 roads and services development,TUMAKURU NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,701657,
47,aiims majra rewari haryana,AIIMS MAJRA REWARI HARYANA,701173,
48,kusmunda oc expansion 15 to 50 mty,KUSMUNDA OC EXPANSION [15 TO 50 MTY],400147,
49,dipka oc,DIPKA OC,612838,
50,jiribam imphal new line project,JIRIBAM-IMPHAL NEW LINE PROJECT,705391,
51,cbr 9 mmtpa project,CBR 9 MMTPA PROJECT,604795,
52,delhi ghaziabad meerut regional rapid transit system rrts corridor,DELHI-GHAZIABAD-MEERUT REGIONAL RAPID TRANSIT SYSTEM [RRTS] CORRIDOR,702633,
53,construction of bangalore metro rail project phase 2,CONSTRUCTION OF BANGALORE METRO RAIL PROJECT PHASE 2.,702635,
54,dmrts phase iv 3 priority corridors,DMRTS PHASE - IV [3 PRIORITY CORRIDORS],702632,
55,block e ocp,BLOCK E OCP,616253,
56,6l of thalikulam to kodugallur section from km 369 015 to km 397 850 of nh 66 old nh 17,"6L OF THALIKULAM TO KODUGALLUR SECTION FROM KM 369.015 TO KM 397.850 OF
NH - 66 OLD NH-17",618602,
57,gadarwara super thermal power project stage ii 3x800 mw,"GADARWARA SUPER THERMAL POWER PROJECT, STAGE-II [3X800 MW]",618976,
58,patratu thermal power station expansion project phase i 3x800 mw,PATRATU THERMAL POWER STATION EXPANSION PROJECT PHASE-I [3X800 MW],400261,
59,raghunathpur thermal power station phase ii 2x660 mw at raghunathpur purulia west bengal,"RAGHUNATHPUR THERMAL POWER STATION PHASE II [2X660 MW] AT
RAGHUNATHPUR, PURULIA, WEST BENGAL",400062,
60,4l elevated corridor and at grade improvements from design ch0000 to design ch 19870 of danapur bihta section design ch0000 to design ch0231 connecting the existing rob near danapur station 1 35 km ramps and at grade improvements to 4 lane section on danapur side and upgradation of existing two lane carriageway to four lane carriageway from design ch19870 to design ch23500 of bihta koilwar section,"4L ELEVATED CORRIDOR AND AT-GRADE IMPROVEMENTS FROM DESIGN CH0000 TO
DESIGN CH 19870 OF DANAPUR BIHTA SECTION, DESIGN CH0000 TO DESIGN CH0231
CONNECTING THE EXISTING ROB NEAR DANAPUR STATION ,1.35 KM RAMPS AND AT-
GRADE IMPROVEMENTS TO 4-LANE SECTION ON DANAPUR SIDE AND UPGRADATION
OF EXISTING TWO LANE CARRIAGEWAY TO FOUR LANE CARRIAGEWAY FROM DESIGN
CH19870 TO DESIGN CH23500 OF BIHTA - KOILWAR SECTION",618914,
61,in situ slum redevelopment project in gujarat,IN-SITU SLUM REDEVELOPMENT PROJECT IN GUJARAT,702540,
62,exhibition cum convention centre dwarka phase i,EXHIBITION CUM CONVENTION CENTRE DWARKA [PHASE I],400429,
63,affordable housing construction project in chhattisgarh,AFFORDABLE HOUSING CONSTRUCTION PROJECT IN CHHATTISGARH,702524,
64,gopalji kaniha ocp 10 to 30 mty,GOPALJI KANIHA OCP [10 TO 30 MTY],400185,
65,bhanupalli bilaspur beri new railway line project,BHANUPALLI-BILASPUR-BERI NEW RAILWAY LINE PROJECT,705428,
66,meja thermal power project stage ii 3x800 mw,"MEJA THERMAL POWER PROJECT, STAGE-II , (3X800 MW)",298178,
67,bharatnet phase ii,BHARATNET PHASE-II,547243,
68,jiribam imphal 110 km,JIRIBAM-IMPHAL 110 KM,705391,
69,multi tracking of son nagar andal 374 53 rkm 814 38 tkm pb34 ecor 2023 24,"MULTI TRACKING OF SON NAGAR-ANDAL 374.53 RKM & 814.38 TKM PB34/ECOR/2023-
24",616699,
70,telangana super thermal power project stage ii 3 x 800 mw,"TELANGANA SUPER THERMAL POWER PROJECT , STAGE-II [3 X 800 MW]",619341,
71,amended bharatnet program up east,AMENDED BHARATNET PROGRAM - UP (EAST),222253,
72,godhani kalumna chord 13 7 km,GODHANI-KALUMNA CHORD 13.7 KM,617321,
